"phrase", "occurances"
phthalate, 7
pesticides, 5
ether, 4
and, 3
herbicides, 3
23445-pentachlorobiphenyl, 3
pcbs, 2
233445-hexachlorobiphenyl, 2
diethylhexyl, 2
heptachlor, 2
alkylphenols, 1
bisphenols, 1
carbamate, 1
compounds, 1
dioxin-like, 1
dioxins, 1
dithiocarbamate, 1
flame, 1
retardants, 1
mono-ortho, 1
coplanar, 1
non-ortho, 1
organochlorine, 1
others, 1
pbdes, 1
pcdds, 1
pcdfs, 1
phenoxy, 1
phthalates, 1
plasticizers, 1
plastics, 1
pyrethroid, 1
styrenes, 1
triazine, 1
1234678-heptachlorodibenzodioxin, 1
1234678-heptachlorodibenzofuran, 1
12346789-octachlorodibenzo-p-dioxin, 1
12346789-octachlorodibenzofuran, 1
123478-hexachlorodibenzodioxin, 1
123478-hexachlorodibenzofuran, 1
1234789-heptachlorodibenzofuran, 1
123678-hexachlorodibenzodioxin, 1
123678-hexachlorodibenzofuran, 1
12378-pentachlorodibenzodioxin, 1
12378-pentachlorodibenzofuran, 1
123789-hexachlorodibenzodioxin, 1
123789-hexachlorodibenzofuran, 1
2244-tetrabromodiphenyl, 1
22445-pentabromodiphenyl, 1
224456-hexabromodiphenyl, 1
2245-tetrabromodiphenyl, 1
2334455-heptachlorobiphenyl, 1
23434-pentachlorobiphenyl, 1
234678-hexachlorodibenzofuran, 1
23478-pentachlorodibenzofuran, 1
2378-tetrachlorodibenzodioxin, 1
2378-tetrachlorodibenzofuran, 1
234455-hexachlorobiphenyl, 1
24-dichlorophenol, 1
24-dichlorophenoxyacetate, 1
245-trichlorophenoxyacetic, 1
acid, 1
33445-pentachlorobiphenyl, 1
3434-tetrachlorobiphenyl, 1
3445-tetrachlorobiphenyl, 1
345345-hexachlorobiphenyl, 1
4-octylphenol, 1
alachlor, 1
aldicarb, 1
aldrin, 1
alpha-hexachlorocyclohexane, 1
amitrole, 1
atrazine, 1
benlate, 1
a, 1
bisphenol, 1
butylbenzyl, 1
carbaryl, 1
chlordane, 1
chlordecone, 1
cypermethrin, 1
ddd, 1
dde, 1
ddt, 1
di-n-hexyl, 1
di-n-pentyl, 1
di-n-propylphthalate, 1
dibromochloropropane, 1
dibutyl, 1
dicofol, 1
dicyclohexyl, 1
dieldrin, 1
diethyl, 1
adipate, 1
endosulfan, 1
endrin, 1
esfenvalerate, 1
fenvalerate, 1
epoxide, 1
hexachlorobenzene, 1
malathion, 1
mancozeb, 1
maneb, 1
methomyl, 1
methoxychlor, 1
metiram, 1
metribuzin, 1
mirex, 1
nitrofen, 1
nonylphenol, 1
octachlorostyrene, 1
oxychlordane, 1
parathion, 1
pentachlorophenol, 1
permethrin, 1
simazine, 1
styrene, 1
toxaphene, 1
trans-nonachlor, 1
trifluralin, 1
vinclozolin, 1
zineb, 1
ziram, 1
